Location name,Amount spent (AUD)
Australian Capital Territory,1588
Jervis Bay Territory,≤100
New South Wales,85847
Norfolk Island,≤100
Northern Territory,654
Queensland,10989
South Australia,4243
Tasmania,1714
Unknown,≤100
Victoria,15843
Western Australia,6747
