Location name,Amount spent (VEF)
Amazonas,≤100
Anzoátegui,2755001
Apure,≤100
Aragua,4500000
Barinas,2532614
Bolívar (state),2750000
Capital District,10771800
Carabobo,7622502
Cojedes,≤100
Delta Amacuro,≤100
Falcón,750000
Guárico,≤100
Lara,4500000
Miranda (state),4750000
Monagas,945000
Mérida,1750000
Nueva Esparta,842500
Portuguesa,750000
Sucre,1682501
Trujillo,269025
Táchira,4025001
Vargas,1250000
Yaracuy,1516307
Zulia,8155003
