Location name,Amount spent (PKR)
Azad Kashmir,1868
Balochistan,2420
Federally Administered Tribal Areas,633
Gilgit-Baltistan,916
Islamabad Capital Territory,7853
Khyber Pakhtunkhwa,14673
Punjab,66716
Sindh,26118
Unknown,≤100
