Location name,Amount spent (EUR)
Alsace,533
Aquitaine,792
Auvergne,239
Basse-Normandie,276
Bourgogne,316
Bretagne,672
Centre,501
Champagne-Ardenne,264
Corse,≤100
Franche-Comté,212
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,449
Languedoc-Roussillon,787
Limousin,136
Lorraine,644
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,640
New Caledonia,≤100
Nord-Pas-de-Calais,1028
Pays de la Loire,818
Picardie,349
Poitou-Charentes,346
Provence-Alpes-Côte d'Azur,2145
Reunion Island,≤100
Rhône-Alpes,1344
Saint Pierre and Miquelon,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,2785
