Location name,Amount spent (USD)
Al Anbar Governorate,109
Al-Qādisiyyah Governorate,≤100
Babil Governorate,112
Baghdad Governorate,711
Basra Governorate,114
Dhi Qar Governorate,127
Diyala Governorate,128
Dohuk Governorate,204
Erbil Governorate,489
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,136
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,108
Nineveh Governorate,193
Saladin Governorate,≤100
Sulaymaniyah Governorate,371
Unknown,≤100
Wasit Governorate,≤100
