Location name,Amount spent (PYG)
Alto Paraguay Department,7579
Alto Paraná Department,1032703
Amambay Department,273874
Asunción,1069727
Boquerón department,42894
Caaguazú Department,511562
Caazapá Department,110763
Canindeyú Department,89154
Central Department,3086082
Concepción Department (Paraguay),93577
Cordillera Department,190145
Guairá Department,138436
Itapúa Department,350016
Misiones Department,109682
Paraguarí Department,112490
Presidente Hayes Department,94851
San Pedro Department,137871
Unknown,441
Ñeembucú Department,60759
