Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
314036327204,VR,VR,61782,17
573559522797177,Flokkur fólksins,Flokkur Fólksins,5485,7
156161194561570,Kjarninn,Kjarninn,2175,1
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,2127,1
110174782355645,Samfylkingin á Seltjarnarnesi,Samfylkingin á Seltjarnarnesi,1667,1
430089884101936,Þingflokkur Pírata,Þingflokkur Pírata,1444,2
108295544832396,Jóhann Páll Jóhannsson,Jóhann Páll Jóhannsson,1379,2
154893001218870,ADHD samtökin,ADHD samtökin,1102,3
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,935,2
192789944066997,Samtök ferðaþjónustunnar,Samtök ferðaþjónustunnar,743,10
332179950192248,Félag atvinnurekenda,Félag atvinnurekenda,541,1
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,178,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,4
100466846248633,AI Mage,These ads ran without a disclaimer,≤100,3
103763599243675,Aiko,These ads ran without a disclaimer,≤100,1
