Location name,Amount spent (NZD)
Auckland Region,9169
Bay of Plenty Region,1391
Canterbury,2816
Gisborne District,200
Hawke's Bay,1140
Manawatu-Wanganui,1248
Marlborough Region,149
Nelson Province,292
Northland Region,732
Otago,881
Southland,386
Taranaki,654
Tasman District,167
Unknown,≤100
Waikato,2578
Wellington Region,2024
West Coast,112
