Location name,Amount spent (GTQ)
Alta Verapaz Department,390
Baja Verapaz Department,129
Chimaltenango Department,313
Chiquimula Department,238
El Progreso Department,127
Escuintla Department,810
Guatemala Department,7252
Huehuetenango Department,593
Izabal Department,482
Jalapa Department,147
Jutiapa Department,270
Petén Department,273
Quetzaltenango Department,700
Quiché Department,366
Retalhuleu Department,223
Sacatepéquez Department,283
San Marcos Department,1350
Santa Rosa Department,211
Sololá Department,203
Suchitepéquez Department,324
Totonicapán Department,177
Unknown,≤100
Zacapa Department,174
