Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,382
Cerro Largo Department,101
Colonia Department,189
Durazno Department,≤100
Flores Department,127
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,272
Montevideo Department,2778
Paysandú Department,128
Rivera Department,762
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,245
San José Department,≤100
Soriano Department,177
Tacuarembó Department,110
Treinta y Tres Department,≤100
Unknown,≤100
