Location name,Amount spent (RON)
Alba County,431
Arad County,543
Argeș County,816
Bacău County,637
Bihor County,569
Bistrița-Năsăud County,312
Botoșani County,265
Brașov County,647
Brăila County,257
Bucharest,3081
Buzău County,374
Caraș-Severin County,244
Cluj County,1009
Constanța County,858
Covasna County,239
Călărași County,202
Dolj County,499
Dâmbovița County,375
Galați County,619
Giurgiu County,206
Gorj County,338
Harghita County,411
Hunedoara County,364
Ialomița County,180
Iași County,1735
Ilfov County,432
Maramureș County,486
Mehedinți County,189
Mureș County,675
Neamț County,476
Olt County,241
Prahova County,772
Satu Mare County,286
Sibiu County,363
Suceava County,485
Sălaj County,183
Teleorman County,209
Timiș County,1696
Tulcea County,180
Unknown,≤100
Vaslui County,302
Vrancea County,409
Vâlcea County,342
