Location name,Amount spent (INR)
Andaman and Nicobar Islands,955
Andhra Pradesh,51913
Arunachal Pradesh,1355
Assam,10605
Bihar,34784
Chandigarh,2466
Chhattisgarh,18639
Dadra and Nagar Haveli,666
Delhi,37122
Goa,4991
Gujarat,46123
Haryana,30043
Himachal Pradesh,11885
Jammu and Kashmir,8818
Jharkhand,12800
Karnataka,207843
Kerala,10958
Lakshadweep,≤100
Madhya Pradesh,58379
Maharashtra,100897
Manipur,2918
Meghalaya,2127
Mizoram,395
Nagaland,2193
Odisha,10061
Puducherry,902
Punjab region,31560
Rajasthan,158857
Sikkim,452
Tamil Nadu,24276
Telangana,64243
Tripura,1627
Unknown,≤100
Uttar Pradesh,89900
Uttarakhand,9052
West Bengal,34821
