Location name,Amount spent (CHF)
Aargau,≤100
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,115
Basel-Landschaft,≤100
Bern,386
Canton of Geneva,1239
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,450
Fribourg,117
Graubünden,≤100
Jura,≤100
Luzern,348
Neuchâtel,≤100
Schaffhausen,308
Schwyz,≤100
Solothurn,≤100
Thurgau,113
Ticino,187
Unknown,≤100
Uri,≤100
Valais,≤100
Vaud,123
Zug,≤100
Zürich,596
