Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
654396084640049,IMM GROUP,IMM Group,782077,5
103929608026099,Khu Đô Thị Dic Victory City Hậu Giang,These ads ran without a disclaimer,432836,2
107086345489871,Mftool.vip 63002578,These ads ran without a disclaimer,379893,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,233055,2
1831330046916094,Tuyển Dụng Giáo Viên Hà Nội,Tuyển Dụng Giáo Viên Hà Nội,102768,2
101914358044085,Tài Liệu Ôn Thi Viên Chức Giáo Dục,Tài Liệu Ôn Thi Viên Chức Giáo Dục,90250,4
742011019500820,IELTS Song Ngữ,These ads ran without a disclaimer,78058,2
1507429892822619,BOM Money,BOM Money,70244,1
116296841445081,,These ads ran without a disclaimer,30079,1
106864984981716,Tài liệu ôn thi viên chức giáo viên TP. HCM,Tài liệu ôn thi viên chức giáo viên TP. HCM,24463,1
119918657743212,Mắt xanh Việt Nam,These ads ran without a disclaimer,21699,1
289312207914639,LV Solutions,These ads ran without a disclaimer,11512,1
108607351041275,FAB Group,These ads ran without a disclaimer,≤100,1
111547123724000,Sweet Meet,These ads ran without a disclaimer,≤100,1
213003865396175,Arabian Travel Market,These ads ran without a disclaimer,≤100,1
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,1
