Location name,Amount spent (PKR)
Azad Kashmir,824
Balochistan,1045
Federally Administered Tribal Areas,233
Gilgit-Baltistan,459
Islamabad Capital Territory,4276
Khyber Pakhtunkhwa,5438
Punjab,22000
Sindh,7271
Unknown,≤100
