Location name,Amount spent (INR)
Andaman and Nicobar Islands,162
Andhra Pradesh,99359
Arunachal Pradesh,1117
Assam,18922
Bihar,35251
Chandigarh,2082
Chhattisgarh,84135
Dadra and Nagar Haveli,567
Delhi,46560
Goa,2670
Gujarat,55905
Haryana,39444
Himachal Pradesh,9263
Jammu and Kashmir,5183
Jharkhand,15012
Karnataka,44058
Kerala,10854
Lakshadweep,≤100
Madhya Pradesh,306226
Maharashtra,162075
Manipur,131
Meghalaya,813
Mizoram,2647
Nagaland,839
Odisha,15210
Puducherry,775
Punjab region,26135
Rajasthan,196290
Sikkim,1067
Tamil Nadu,61914
Telangana,103537
Tripura,1648
Unknown,≤100
Uttar Pradesh,115933
Uttarakhand,16084
West Bengal,38702
