Location name,Amount spent (AED)
Abu Dhabi,603
Dubai,1108
Emirate of Ajman,201
Emirate of Sharjah,439
Fujairah,≤100
Ras al-Khaimah,105
Umm al-Quwain,≤100
Unknown,≤100
