Location name,Amount spent (EUR)
Alsace,1403
Aquitaine,2758
Auvergne,845
Basse-Normandie,994
Bourgogne,1083
Bretagne,2173
Centre,1688
Champagne-Ardenne,956
Corse,383
Franche-Comté,722
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,1325
Languedoc-Roussillon,2720
Limousin,471
Lorraine,1922
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,2219
New Caledonia,≤100
Nord-Pas-de-Calais,3063
Pays de la Loire,2247
Picardie,1431
Poitou-Charentes,1271
Provence-Alpes-Côte d'Azur,5109
Reunion Island,≤100
Rhône-Alpes,4570
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,9605
