Location name,Amount spent (HUF)
Baranya County,189022
Borsod-Abaúj-Zemplén County,246639
Budapest,1194019
Bács-Kiskun County,206559
Békés County,138821
Csongrád County,226162
Fejér County,188983
Győr-Moson-Sopron County,199942
Hajdú-Bihar County,227093
Heves County,121406
Jász-Nagykun-Szolnok County,151822
Komárom-Esztergom County,133125
Nógrád County,65572
Pest County,464239
Somogy County,117613
Szabolcs-Szatmár-Bereg County,197297
Tolna County,83058
Unknown,192
Vas County,113295
Veszprém County,134292
Zala County,153393
