Location name,Amount spent (EGP)
Al Sharqia Governorate,2186
Alexandria Governorate,1675
Aswan Governorate,305
Asyut Governorate,654
Beheira Governorate,975
Beni Suef Governorate,405
Cairo Governorate,10807
Dakahlia Governorate,2148
Damietta Governorate,536
Faiyum Governorate,523
Gharbia Governorate,1390
Giza Governorate,3379
Ismailia Governorate,490
Kafr el-Sheikh Governorate,892
Luxor Governorate,203
Matrouh Governorate,≤100
Minya Governorate,755
Monufia Governorate,1740
New Valley Governorate,≤100
North Sinai Governorate,148
Port Said Governorate,268
Qalyubia Governorate,2547
Qena Governorate,462
Red Sea Governorate,164
Sohag Governorate,698
South Sinai Governorate,≤100
Suez Governorate,227
Unknown,≤100
