Location name,Amount spent (VND)
An Giang Province,4621
Bà Rịa–Vũng Tàu Province,3634
Bình Dương Province,6301
Bình Phước Province,2194
Bình Thuận Province,2440
Bình Định Province,2260
Bạc Liêu Province,955
Bắc Giang Province,3707
Bắc Kạn Province,461
Bắc Ninh Province,2728
Bến Tre Province,1210
Cao Bằng Province,567
Cà Mau Province,1837
Cần Thơ,4243
Da Nang,5748
Gia Lai Province,2085
Haiphong,7271
Ho Chi Minh City,3120795
Hà Giang Province,733
Hà Nam Province,1560
Hà Tĩnh Province,5136
Hòa Bình Province,1229
Hưng Yên Province,1896
Hải Dương Province,4407
Hậu Giang Province,425
Khánh Hòa Province,4399
Kiên Giang Province,3191
Kon Tum Province,550
Lai Châu Province,239
Long An Province,1634
Lào Cai Province,1757
Lâm Đồng Province,3254
Lạng Sơn Province,2220
Nam Định Province,4162
Nghệ An Province,23496
Ninh Bình Province,2135
Ninh Thuận Province,687
Phú Thọ Province,2089
Phú Yên Province,1776
Quảng Bình Province,2024
Quảng Nam Province,3731
Quảng Ngãi Province,4618
Quảng Ninh Province,3184
Quảng Trị Province,2402
Sóc Trăng Province,875
Sơn La Province,1572
Thanh Hóa Province,6433
Thái Bình Province,3723
Thái Nguyên Province,3620
Thừa Thiên–Huế Province,2613
Tiền Giang Province,2016
Trà Vinh Province,1550
Tuyên Quang Province,1150
Tây Ninh Province,3157
Vĩnh Long Province,1052
Vĩnh Phúc Province,1816
Yên Bái Province,1126
Điện Biên Province,1720
Đắk Lắk Province,5840
Đắk Nông Province,996
Đồng Nai Province,7642
Đồng Tháp Province,2155
