Location name,Amount spent (MXN)
Aguascalientes,9232
Baja California,17768
Baja California Sur,2563
Campeche,6900
Chiapas,14177
Chihuahua,12422
Coahuila de Zaragoza,96474
Colima,11513
Distrito Federal,113867
Durango,4360
Guanajuato,49095
Guerrero,6651
Hidalgo,7159
Jalisco,236794
Michoacán de Ocampo,20651
Morelos,7794
Nayarit,20616
Nuevo León,50185
Oaxaca,9198
Puebla,18471
Querétaro Arteaga,11881
Quintana Roo,15872
San Luis Potosi,16075
Sinaloa,12452
Sonora,12564
State of Mexico,43323
Tabasco,6945
Tamaulipas,8496
Tlaxcala,2858
Unknown,≤100
Veracruz,19243
Yucatán,15160
Zacatecas,5986
