Location name,Amount spent (MXN)
Aguascalientes,4048
Baja California,18401
Baja California Sur,2694
Campeche,15832
Chiapas,11636
Chihuahua,18127
Coahuila de Zaragoza,27942
Colima,5682
Distrito Federal,81086
Durango,5524
Guanajuato,18761
Guerrero,6661
Hidalgo,10463
Jalisco,353950
Michoacán de Ocampo,12061
Morelos,7782
Nayarit,1817
Nuevo León,27553
Oaxaca,6235
Puebla,12414
Querétaro Arteaga,9814
Quintana Roo,3882
San Luis Potosi,9271
Sinaloa,5681
Sonora,7740
State of Mexico,120409
Tabasco,7927
Tamaulipas,18269
Tlaxcala,3789
Unknown,≤100
Veracruz,12927
Yucatán,12819
Zacatecas,2640
