Location name,Amount spent (EUR)
Alsace,412
Aquitaine,809
Auvergne,245
Basse-Normandie,270
Bourgogne,299
Bretagne,688
Centre,477
Champagne-Ardenne,278
Corse,102
Franche-Comté,194
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,386
Languedoc-Roussillon,844
Limousin,142
Lorraine,572
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,680
New Caledonia,≤100
Nord-Pas-de-Calais,790
Pays de la Loire,677
Picardie,371
Poitou-Charentes,365
Provence-Alpes-Côte d'Azur,1635
Reunion Island,≤100
Rhône-Alpes,1376
Saint Pierre and Miquelon,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3530
