Location name,Amount spent (CAD)
Alberta,12317
British Columbia,14023
Manitoba,4702
New Brunswick,1668
Newfoundland and Labrador,824
Northwest Territories,125
Nova Scotia,1727
Nunavut,116
Ontario,29110
Prince Edward Island,1689
Quebec,33996
Saskatchewan,3481
Unknown,≤100
Yukon,123
