Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
110627367235865,Australian Government,Australian Government,8517,25
334563333634959,Australian Government Department of Education,Australian Government Department of Education,6114,3
101589645013040,Thrive by Five,Thrive By Five,4841,20
102329728050606,Yes23,Yes23,4732,59
532962446729390,Australian Families,Department of Social Services,4509,49
299753643444311,AEC,Australian Electoral Commission,3241,22
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,3202,259
108695110952294,Greens MPs,Greens MPs,2661,8
494820897261439,Bank Australia,Bank Australia,2089,68
182564410468,Australia for UNHCR,Australia for UNHCR,1979,73
225761522187219,Turning Point Australia,Turning Point Australia Pty Ltd,1754,69
1622506634677043,Senator Jacinta Nampijinpa Price,Jacinta Nampijinpa Price,1630,24
1776727752614025,Glencore,Glencore Australia,1264,12
171208803080734,Simon Birmingham,Simon Birmingham,1238,20
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,1168,47
89794331215,Oxfam,Oxfam Australia,1153,93
92824008332,Plan International Australia,Plan International Australia,1146,53
160054227468,World Vision Australia,World Vision Australia,1106,11
256684855281573,James Stevens MP,James Stevens MP,1094,15
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,987,13
104180525925926,Fair Australia,Advance Australia,941,28
362805317148988,Keith Pitt,Keith Pitt,850,6
350996037887,Beyond Zero Emissions,Beyond Zero Emissions,839,12
117806591312470,Not Enough,Advance Australia,743,18
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,724,13
134712696593275,Dan Andrews,Daniel Andrews MP,655,10
666041500505740,IBAC Victoria's Independent Broad-based Anti-corruption Commission,IBAC,635,1
161854162881,Greenfleet,Greenfleet,626,54
101791315693,Destiny Rescue,Destiny Rescue,594,13
174666115898903,Jerome Laxale MP,Jerome Laxale,587,17
119271104477423,Essential Medicine Shortages,The Pharmacy Guild of Australia,568,12
105140971475089,Chuffed.org - Australia,Chuffed.org,543,2
1606513883009154,Kerrynne Liddle - Liberal Senator for SA,Senator Kerrynne Liddle,518,5
2094721964134949,Senator Paul Scarr,Senator Paul Scarr,504,1
8422338499,The Wilderness Society,The Wilderness Society,500,35
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,487,2
231341250224498,Australian Ethical Investment,Australian Ethical Investment,470,66
10852627380,World Animal Protection Australia,World Animal Protection Australia,462,8
471390022952217,APPEA - Our Natural Advantage,APPEA,429,53
355207511197076,Yarra Valley Water,Yarra Valley Water,421,5
1670517743250253,Save the Daintree Rainforest,Rainforest 4 Foundation Ltd,408,121
157812980921536,Environmental Defenders Office,Environmental Defenders Office,407,102
49991482906,Tearfund Australia,Tearfund Australia,396,47
90728602000,Greening Australia,Greening Australia,376,12
418405098224592,350.org Australia,350.org Australia,365,37
536780606335962,Michelle Landry,Michelle Landry,364,4
149648047339,Save the Children Australia,Save the Children Australia,359,25
103793788825307,Dr Monique Ryan,Monique Ryan,345,18
125812604095801,Invasive Species Council,Invasive Species Council,334,98
135933556447881,Australian Republic Movement,Australian Republic Movement,331,1
1466035070293582,Alex Hawke MP,Alex Hawke MP,313,2
106791108597531,Future of Local Government Review - Tasmanian Government,Department of Premier and Cabinet,293,2
936147539773859,Great Barrier Reef Foundation,Great Barrier Reef Foundation,280,4
100162559396,The Australia Institute,The Australia Institute,279,2
694832627392516,Prime Super,Prime Super,279,89
200819325600,ActionAid Australia,ActionAid Australia,267,28
59024478936,Monash University,Monash University,262,5
104910384328602,Binge,Streamotion Pty Ltd,260,4
104936088727424,Sam Birrell MP,Sam Birrell MP,255,2
2232624883416629,Melissa McIntosh MP,Melissa McIntosh MP,255,12
341910905847062,Asylum Seeker Resource Centre (ASRC),Asylum Seeker Resource Centre (ASRC),253,84
117058357932949,Constitutional Equality,Constitutional Equality,248,13
948595148496917,Andrew Hastie,Andrew Hastie,245,13
373523642668552,Energy - Queensland,Department of Energy and Public Works,244,39
160021291752,Environment Victoria,Environment Victoria,236,7
1653567181523741,Greater Cities Commission,Greater Cities Commission,236,8
118388888197666,Ed Husic MP,Ed Husic MP,233,5
33463928664,International Women's Development Agency - IWDA,IWDA,233,14
250009418677191,Aged Rights Advocacy Service,Aged Rights Advocacy Service,220,14
