Location name,Amount spent (THB)
Amnat Charoen,118
Ang Thong,109
Ayutthaya,1441
Bangkok,31252
Bueng Kan,119
Buriram,464
Chachoengsao,2396
Chai Nat,181
Chaiyaphum,305
Chanthaburi,724
Chiang Mai,1221
Chiang Rai,678
Chon Buri,14051
Chumphon,1063
Kalasin,329
Kamphaeng Phet,267
Kanchanaburi,624
Khon Kaen,724
Krabi,320
Lampang,405
Lamphun,207
Loei,223
Lop Buri,290
Mae Hong Son,≤100
Maha Sarakham,341
Mukdahan,132
Nakhon Nayok,131
Nakhon Pathom,3189
Nakhon Phanom,409
Nakhon Ratchasima,1357
Nakhon Sawan,1372
Nakhon Si Thammarat,2237
Nan,154
Narathiwat,183
Nong Bua Lam Phu,245
Nong Khai,188
Nonthaburi,1565
Pathum Thani,1266
Pattani,319
Phangnga,216
Phatthalung,486
Phayao,193
Phetchabun,271
Phetchaburi,266
Phichit,203
Phitsanulok,1436
Phrae,167
Phuket,7159
Prachin Buri,304
Prachuap Khiri Khan,350
Ranong,225
Ratchaburi,1127
Rayong,995
Roi Et,378
Sa Kaeo,314
Sakon Nakhon,367
Samut Prakan,1954
Samut Sakhon,1634
Samut Songkhram,383
Saraburi,385
Satun,241
Sing Buri,≤100
Sisaket,414
Songkhla,2413
Sukhothai,294
Suphan Buri,401
Surat Thani,11199
Surin,384
Tak,198
Trang,421
Trat,1462
Ubon Ratchathani,692
Udon Thani,658
Unknown,≤100
Uthai Thani,191
Uttaradit,180
Yala Province,237
Yasothon,265
