Location name,Amount spent (CHF)
Aargau,391
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,190
Basel-Landschaft,735
Bern,286
Canton of Geneva,805
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,257
Fribourg,≤100
Graubünden,≤100
Jura,≤100
Luzern,209
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,≤100
Ticino,124
Unknown,≤100
Uri,≤100
Valais,≤100
Vaud,197
Zug,≤100
Zürich,8243
