Location name,Amount spent (CLP)
Antofagasta Region,118742
Araucanía Region,109697
Arica y Parinacota Region,74621
Atacama Region,53692
Aysén Region,14413
Bío Bío Region,287598
Coquimbo Region,161859
Los Lagos Region,101155
Los Ríos Region,44031
Magallanes y la Antártica Chilena Region,22297
Maule Region,106543
O'Higgins Region,119766
Santiago Metropolitan Region,1371031
Tarapacá Region,70645
Unknown,139
Valparaíso Region,258640
