Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,790
Bicol Region,6277
Cagayan Valley,2419
Calabarzon,18844
Caraga,1963
Central Luzon,9038
Central Visayas,5966
Cordillera Administrative Region,1351
Davao Region,2966
Eastern Visayas,2920
Ilocos Region,3307
Metro Manila,28907
Mimaropa,2094
Northern Mindanao,3039
Soccsksargen,9395
Unknown,≤100
Western Visayas,7267
Zamboanga Peninsula,1917
