Location name,Amount spent (VND)
An Giang Province,4727
Bà Rịa–Vũng Tàu Province,22856
Bình Dương Province,102754
Bình Phước Province,12664
Bình Thuận Province,18475
Bình Định Province,9385
Bạc Liêu Province,2588
Bắc Giang Province,29190
Bắc Kạn Province,4867
Bắc Ninh Province,35891
Bến Tre Province,7581
Cao Bằng Province,4210
Cà Mau Province,4824
Cần Thơ,3241
Da Nang,127147
Gia Lai Province,15885
Haiphong,32253
Ho Chi Minh City,1112480
Hà Giang Province,3674
Hà Nam Province,9333
Hà Tĩnh Province,20322
Hòa Bình Province,12677
Hưng Yên Province,27348
Hải Dương Province,33463
Hậu Giang Province,972
Khánh Hòa Province,8419
Kiên Giang Province,4601
Kon Tum Province,4524
Lai Châu Province,665
Long An Province,5068
Lào Cai Province,1877
Lâm Đồng Province,11600
Lạng Sơn Province,14704
Nam Định Province,16395
Nghệ An Province,54480
Ninh Bình Province,17362
Ninh Thuận Province,2063
Phú Thọ Province,30346
Phú Yên Province,6276
Quảng Bình Province,14413
Quảng Nam Province,22418
Quảng Ngãi Province,157075
Quảng Ninh Province,18041
Quảng Trị Province,8468
Sóc Trăng Province,3295
Sơn La Province,18749
Thanh Hóa Province,60583
Thái Bình Province,21294
Thái Nguyên Province,22654
Thừa Thiên–Huế Province,11372
Tiền Giang Province,5853
Trà Vinh Province,2062
Tuyên Quang Province,15088
Tây Ninh Province,9817
Vĩnh Long Province,2820
Vĩnh Phúc Province,22108
Yên Bái Province,23163
Điện Biên Province,8864
Đắk Lắk Province,20467
Đắk Nông Province,6563
Đồng Nai Province,76060
Đồng Tháp Province,7865
