Location name,Amount spent (CLP)
Antofagasta Region,76089
Araucanía Region,164842
Arica y Parinacota Region,46828
Atacama Region,33452
Aysén Region,30454
Bío Bío Region,640927
Coquimbo Region,171228
Los Lagos Region,113717
Los Ríos Region,63913
Magallanes y la Antártica Chilena Region,30223
Maule Region,140307
O'Higgins Region,116673
Santiago Metropolitan Region,1433880
Tarapacá Region,46361
Unknown,618
Valparaíso Region,399919
