Location name,Amount spent (INR)
Andaman and Nicobar Islands,215
Andhra Pradesh,73259
Arunachal Pradesh,1144
Assam,16828
Bihar,49806
Chandigarh,4161
Chhattisgarh,15632
Dadra and Nagar Haveli,1170
Delhi,46802
Goa,1887
Gujarat,46620
Haryana,48540
Himachal Pradesh,14660
Jammu and Kashmir,11477
Jharkhand,13329
Karnataka,181340
Kerala,15277
Lakshadweep,≤100
Madhya Pradesh,75311
Maharashtra,161817
Manipur,1533
Meghalaya,341688
Mizoram,714
Nagaland,54870
Odisha,12861
Puducherry,1760
Punjab region,40759
Rajasthan,105093
Sikkim,689
Tamil Nadu,40531
Telangana,59051
Tripura,422540
Unknown,123
Uttar Pradesh,98528
Uttarakhand,13445
West Bengal,55475
