Location name,Amount spent (RON)
Alba County,626
Arad County,1088
Argeș County,1117
Bacău County,979
Bihor County,1363
Bistrița-Năsăud County,511
Botoșani County,630
Brașov County,1214
Brăila County,543
Bucharest,4677
Buzău County,769
Caraș-Severin County,517
Cluj County,1784
Constanța County,1239
Covasna County,482
Călărași County,516
Dolj County,1011
Dâmbovița County,774
Galați County,947
Giurgiu County,323
Gorj County,764
Harghita County,718
Hunedoara County,875
Ialomița County,615
Iași County,3019
Ilfov County,753
Maramureș County,1016
Mehedinți County,433
Mureș County,1259
Neamț County,950
Olt County,533
Prahova County,1500
Satu Mare County,814
Sibiu County,739
Suceava County,1095
Sălaj County,489
Teleorman County,407
Timiș County,1776
Tulcea County,354
Unknown,≤100
Vaslui County,551
Vrancea County,542
Vâlcea County,840
