Location name,Amount spent (UYU)
Artigas Department,228
Canelones Department,805
Cerro Largo Department,227
Colonia Department,324
Durazno Department,129
Flores Department,≤100
Florida Department,150
Lavalleja Department,222
Maldonado Department,463
Montevideo Department,3935
Paysandú Department,1252
Rivera Department,442
Rocha Department,131
Río Negro Department,116
Salto Department,484
San José Department,155
Soriano Department,159
Tacuarembó Department,212
Treinta y Tres Department,140
Unknown,≤100
