Location name,Amount spent (GTQ)
Alta Verapaz Department,195
Baja Verapaz Department,≤100
Chimaltenango Department,135
Chiquimula Department,217
El Progreso Department,≤100
Escuintla Department,341
Guatemala Department,3881
Huehuetenango Department,185
Izabal Department,149
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,269
Quiché Department,115
Retalhuleu Department,≤100
Sacatepéquez Department,169
San Marcos Department,476
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,120
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
