Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,174
Bangkok,4106
Bueng Kan,≤100
Buriram,279
Chachoengsao,154
Chai Nat,≤100
Chaiyaphum,214
Chanthaburi,≤100
Chiang Mai,721
Chiang Rai,228
Chon Buri,481
Chumphon,141
Kalasin,148
Kamphaeng Phet,238
Kanchanaburi,147
Khon Kaen,446
Krabi,137
Lampang,138
Lamphun,≤100
Loei,≤100
Lop Buri,137
Mae Hong Son,≤100
Maha Sarakham,189
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,197
Nakhon Phanom,138
Nakhon Ratchasima,470
Nakhon Sawan,677
Nakhon Si Thammarat,365
Nan,≤100
Narathiwat,173
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,426
Pathum Thani,277
Pattani,209
Phangnga,≤100
Phatthalung,246
Phayao,≤100
Phetchabun,160
Phetchaburi,164
Phichit,110
Phitsanulok,696
Phrae,≤100
Phuket,193
Prachin Buri,235
Prachuap Khiri Khan,118
Ranong,≤100
Ratchaburi,169
Rayong,227
Roi Et,237
Sa Kaeo,107
Sakon Nakhon,182
Samut Prakan,180
Samut Sakhon,162
Samut Songkhram,≤100
Saraburi,138
Satun,≤100
Sing Buri,≤100
Sisaket,220
Songkhla,4691
Sukhothai,146
Suphan Buri,175
Surat Thani,311
Surin,268
Tak,146
Trang,160
Trat,≤100
Ubon Ratchathani,339
Udon Thani,263
Unknown,≤100
Uthai Thani,≤100
Uttaradit,102
Yala Province,155
Yasothon,147
