Location name,Amount spent (AUD)
Australian Capital Territory,788
Jervis Bay Territory,≤100
New South Wales,43047
Northern Territory,460
Queensland,8953
South Australia,3839
Tasmania,1240
Unknown,≤100
Victoria,11128
Western Australia,4196
