Location name,Amount spent (RON)
Alba County,642
Arad County,1057
Argeș County,1087
Bacău County,691
Bihor County,853
Bistrița-Năsăud County,573
Botoșani County,461
Brașov County,1159
Brăila County,361
Bucharest,2786
Buzău County,509
Caraș-Severin County,398
Cluj County,1588
Constanța County,1110
Covasna County,299
Călărași County,263
Dolj County,719
Dâmbovița County,698
Galați County,681
Giurgiu County,233
Gorj County,558
Harghita County,621
Hunedoara County,718
Ialomița County,239
Iași County,1634
Ilfov County,693
Maramureș County,679
Mehedinți County,352
Mureș County,1051
Neamț County,804
Olt County,363
Prahova County,1024
Satu Mare County,424
Sibiu County,659
Suceava County,782
Sălaj County,318
Teleorman County,299
Timiș County,1014
Tulcea County,234
Unknown,≤100
Vaslui County,397
Vrancea County,869
Vâlcea County,524
