Location name,Amount spent (CLP)
Antofagasta Region,132164
Araucanía Region,443943
Arica y Parinacota Region,52275
Atacama Region,65827
Aysén Region,53334
Bío Bío Region,399297
Coquimbo Region,238910
Los Lagos Region,216686
Los Ríos Region,64784
Magallanes y la Antártica Chilena Region,34466
Maule Region,197153
O'Higgins Region,569183
Santiago Metropolitan Region,1683050
Tarapacá Region,83121
Unknown,520
Valparaíso Region,667965
