Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,413
Apurímac Region,103
Arequipa Region,401
Ayacucho Region,165
Cajamarca Region,340
Callao,321
Cusco Region,391
Huancavelica Region,≤100
Huánuco Region,185
Ica Region,352
Junín Region,344
La Libertad Region,1029
Lambayeque Region,511
Lima Region,3218
Loreto Region,341
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,765
Puno Region,330
San Martín Region,302
Tacna Region,121
Tumbes Region,114
Ucayali Region,210
Unknown,≤100
