Location name,Amount spent (USD)
Alabama,15680
Alaska,3201
American Samoa,≤100
Arizona,28168
Arkansas,9581
California,136591
Colorado,26187
Connecticut,10246
Delaware,3553
Florida,74274
Georgia,34908
Guam,≤100
Hawaii,4609
Idaho,5882
Illinois,40857
Indiana,21567
Iowa,20627
Kansas,10174
Kentucky,17312
Louisiana,20445
Maine,6261
Maryland,22154
Massachusetts,21829
Michigan,36803
Minnesota,14381
Mississippi,23159
Missouri,19973
Montana,5091
Nebraska,7572
Nevada,14166
New Hampshire,9593
New Jersey,32077
New Mexico,6920
New York,65053
North Carolina,34706
North Dakota,2568
Northern Mariana Islands,≤100
Ohio,118287
Oklahoma,14128
Oregon,13811
Pennsylvania,54967
Puerto Rico,≤100
Rhode Island,4017
South Carolina,21194
South Dakota,2187
Tennessee,25059
Texas,96367
Unknown,163
Utah,9847
Vermont,1779
Virgin Islands (U.S.),≤100
Virginia,35469
Washington,24565
"Washington, District of Columbia",7969
West Virginia,8012
Wisconsin,18545
Wyoming,1649
