Location name,Amount spent (HUF)
Baranya County,110444
Borsod-Abaúj-Zemplén County,149307
Budapest,633406
Bács-Kiskun County,132361
Békés County,88719
Csongrád County,122658
Fejér County,113553
Győr-Moson-Sopron County,120031
Hajdú-Bihar County,162173
Heves County,76634
Jász-Nagykun-Szolnok County,94549
Komárom-Esztergom County,73723
Nógrád County,40176
Pest County,278486
Somogy County,83180
Szabolcs-Szatmár-Bereg County,129191
Tolna County,58091
Unknown,≤100
Vas County,67271
Veszprém County,85081
Zala County,74344
