Location name,Amount spent (MXN)
Aguascalientes,19796
Baja California,66693
Baja California Sur,9931
Campeche,19344
Chiapas,38202
Chihuahua,50342
Coahuila de Zaragoza,29928
Colima,8897
Distrito Federal,137565
Durango,11778
Guanajuato,73778
Guerrero,22567
Hidalgo,15992
Jalisco,155853
Michoacán de Ocampo,46451
Morelos,42221
Nayarit,7691
Nuevo León,138326
Oaxaca,55225
Puebla,81564
Querétaro Arteaga,50940
Quintana Roo,69148
San Luis Potosi,29896
Sinaloa,48384
Sonora,57372
State of Mexico,128354
Tabasco,13355
Tamaulipas,40041
Tlaxcala,13430
Unknown,≤100
Veracruz,55097
Yucatán,42190
Zacatecas,18985
