Location name,Amount spent (CHF)
Aargau,181
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,136
Basel-Landschaft,109
Bern,411
Canton of Geneva,2271
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,544
Fribourg,114
Graubünden,≤100
Jura,≤100
Luzern,1977
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,≤100
Ticino,1188
Unknown,≤100
Uri,≤100
Valais,≤100
Vaud,260
Zug,≤100
Zürich,512
