Location name,Amount spent (AED)
Abu Dhabi,359
Dubai,557
Emirate of Ajman,122
Emirate of Sharjah,264
Fujairah,≤100
Ras al-Khaimah,≤100
Umm al-Quwain,≤100
Unknown,≤100
