Location name,Amount spent (IDR)
Aceh,4756064
Bali,2743061
Bangka–Belitung Islands,891627
Banten,6586996
Bengkulu,1560731
Central Java,15839254
Central Kalimantan,1397266
Central Sulawesi,1755584
East Java,13406784
East Kalimantan,3631405
East Nusa Tenggara,3886391
Gorontalo,1134886
Jakarta,19052128
Jambi,1754174
Lampung,4827350
Maluku,2171326
North Kalimantan,764753
North Maluku,901798
North Sulawesi,5172859
North Sumatra,7434700
Papua (province),1155537
Riau,3481768
Riau Islands Province,1691750
South Kalimantan,1837325
South Sulawesi,8511987
South Sumatra,8355015
Southeast Sulawesi,1424579
Special Region of Yogyakarta,2011025
Unknown,12940
West Java,22913484
West Kalimantan,3373962
West Nusa Tenggara,2367539
West Papua,784705
West Sulawesi,932641
West Sumatra,4449078
