Location name,Amount spent (TRY)
Adana Province,622
Adıyaman Province,≤100
Afyonkarahisar Province,151
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,1701
Antalya Province,1723
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,638
Ağrı Province,≤100
Balıkesir Province,376
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,835
Denizli Province,208
Diyarbakır Province,136
Düzce Province,≤100
Edirne Province,228
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,196
Gaziantep Province,295
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,559
Isparta Province,≤100
Istanbul Province,5855
Iğdır Province,≤100
Kahramanmaraş Province,329
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,280
Kilis Province,≤100
Kocaeli Province,213
Konya Province,253
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,198
Malatya Province,≤100
Manisa Province,305
Mardin Province,≤100
Mersin Province,576
Muğla Province,247
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,≤100
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,566
Samsun Province,853
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,156
Tokat Province,≤100
Trabzon Province,154
Tunceli Province,≤100
Unknown,≤100
Uşak Province,670
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,103
Çanakkale Province,330
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,2293
Şanlıurfa Province,152
Şırnak Province,≤100
