Location name,Amount spent (TRY)
Adana Province,452
Adıyaman Province,≤100
Afyonkarahisar Province,774
Aksaray Province,103
Amasya Province,≤100
Ankara Province,3630
Antalya Province,1165
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,277
Ağrı Province,≤100
Balıkesir Province,460
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,4287
Denizli Province,244
Diyarbakır Province,151
Düzce Province,435
Edirne Province,333
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,105
Eskişehir Province,263
Gaziantep Province,289
Giresun Province,102
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,453
Isparta Province,116
Istanbul Province,32929
Iğdır Province,≤100
Kahramanmaraş Province,176
Karabük Province,939
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,3378
Kayseri Province,253
Kilis Province,≤100
Kocaeli Province,1982
Konya Province,422
Kütahya Province,117
Kırklareli Province,173
Kırıkkale Province,143
Kırşehir Province,≤100
Malatya Province,205
Manisa Province,444
Mardin Province,103
Mersin Province,396
Muğla Province,485
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,197
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,123
Samsun Province,977
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,672
Tokat Province,≤100
Trabzon Province,188
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,173
Zonguldak Province,122
Çanakkale Province,797
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1669
Şanlıurfa Province,201
Şırnak Province,≤100
