Location name,Amount spent (GTQ)
Alta Verapaz Department,895
Baja Verapaz Department,326
Chimaltenango Department,670
Chiquimula Department,676
El Progreso Department,291
Escuintla Department,1558
Guatemala Department,16071
Huehuetenango Department,1513
Izabal Department,1141
Jalapa Department,385
Jutiapa Department,625
Petén Department,698
Quetzaltenango Department,1894
Quiché Department,965
Retalhuleu Department,596
Sacatepéquez Department,629
San Marcos Department,3503
Santa Rosa Department,464
Sololá Department,533
Suchitepéquez Department,842
Totonicapán Department,524
Unknown,≤100
Zacapa Department,452
