Location name,Amount spent (ZAR)
Eastern Cape,1113
Free State,642
Gauteng,4095
KwaZulu-Natal,2402
Limpopo,565
Mpumalanga,558
North West,480
Northern Cape,336
Unknown,≤100
Western Cape,6845
