Location name,Amount spent (HUF)
Baranya County,270895
Borsod-Abaúj-Zemplén County,451715
Budapest,1508422
Bács-Kiskun County,379569
Békés County,246791
Csongrád County,318674
Fejér County,296989
Győr-Moson-Sopron County,329962
Hajdú-Bihar County,403795
Heves County,207728
Jász-Nagykun-Szolnok County,277732
Komárom-Esztergom County,225506
Nógrád County,122667
Pest County,845554
Somogy County,197159
Szabolcs-Szatmár-Bereg County,361705
Tolna County,160662
Unknown,111
Vas County,173668
Veszprém County,224686
Zala County,181763
