Location name,Amount spent (PYG)
Alto Paraguay Department,4143
Alto Paraná Department,195255
Amambay Department,25387
Asunción,250202
Boquerón department,17420
Caaguazú Department,86292
Caazapá Department,13227
Canindeyú Department,18140
Central Department,839265
Concepción Department (Paraguay),36646
Cordillera Department,58813
Guairá Department,19652
Itapúa Department,61974
Misiones Department,57209
Paraguarí Department,30887
Presidente Hayes Department,17673
San Pedro Department,39453
Unknown,≤100
Ñeembucú Department,11125
