Page ID,Page name,Disclaimer,Amount spent (MYR),Number of ads in Library
343347583411734,歡樂大東家,These ads ran without a disclaimer,1264,4
693929714007978,Hj Nicholas Sylvester Muhammad Abdullah,Portal Mudah,691,3
109530075225317,Rezeki Infaq,Nurhaniz Binti Mohamad Shah,601,4
135643903798815,Onn Hafiz Ghazi,Onn Hafiz Bin Ghazi,512,1
221159141657466,Newswav,Newswav - Malaysia Latest News,427,21
101193781637538,sumbangan.com,sumbangan.com,253,6
155707591143880,Prof. Dr Zainur Rashid Zainuddin,Yayasan Ikhlas,247,6
474963719253432,Yayasan Ikhlas,Yayasan Ikhlas,231,4
1501533313496059,Rojaklah.com,Rojaklah.com,205,21
260612367434680,Lidah Hitam,Mohd Rais Bin Omar,180,2
103627275288286,Lumi News Malaysia,These ads ran without a disclaimer,165,1
87363369882,Sinar Harian,Sinar Harian,113,4
242624549154600,Wong Kah Woh,DAP Taiping,102,1
446127318757289,Sirap Limau,Sirap Limau,≤100,4
1423136211324341,南洋商报 Nanyang Siang Pau,南洋商报 Nanyang Siang Pau,≤100,3
138361272876308,马华公会,马华公会,≤100,1
401788663279891,Yayasan Sofa Negeri Sembilan,Yayasan Sofa,≤100,1
101330744782701,Muslim Al-Fateh,Muslim Al Fateh,≤100,3
103406462160763,Nat Market,VIDARA SDN BHD,≤100,4
103722031884565,My Salam - Advanced Alternative Health Centre,Mohamad Zulfikhri Bin Abdul Latif,≤100,1
176159849754763,MCA,MCA,≤100,1
163611310997367,Kubang Kerian Sejahtera,Kubang Kerian Sejahtera,≤100,1
149208308580838,Fuziah Salleh,Keadilan Rakyat,≤100,3
763242580523314,Mustapha Nagoor,Mustapha Nagoor,≤100,2
353040178697449,Tabung Pahlawan Veteran ATM,Tabung Pahlawan Veteran ATM,≤100,7
663424353704332,sinarplus,SinarPlus,≤100,1
140910022595888,JHEV ATM,JHEV ATM,≤100,3
117300344947762,Teresa Kok,Teresa Kok,≤100,2
103657549164360,Serom Family,Serom Family,≤100,1
102225645302483,Teman Asal Perak,Nurul Natasha Binti Badrul Hisham,≤100,1
106035218778087,Dato' Romli Ishak N.55 Dengkil,Siti Nabila Hasan,≤100,1
104887431073257,Zainuddin Mohamed,Zainuddin Bin Mohamed,≤100,1
107382207626058,R.Yuneswaran,Yuneswaran A/L Ramaraj,≤100,4
401340596873929,The True Net,Yoke Har Ng,≤100,4
154574060056739,Warta Rakyat,Warta Rakyat,≤100,2
157791694829873,Manndzri,Manndzri,≤100,1
105095057904484,William Leong 梁自坚,Swee Sheun Lee,≤100,1
232346716925403,Majalah Forex Malaysia,MAJALAH FOREX MALAYSIA,≤100,1
1262706293818697,Terengganu Strategic & Integrity Institute - TSIS,Terengganu Strategic & Integrity Institute - TSIS,≤100,1
134750209898122,Chang Lih Kang,Parti Keadilan Rakyat,≤100,3
109862381904645,阿聪吹水堂 Ah Chung Talkshow,阿聪吹水堂 Ah Chung Talkshow,≤100,1
524923837546004,Simon Ooi Tze Min,parti keadilan rakyat,≤100,3
100351665367822,Kwan Say Hong 官世峰,Kwan Say Hong,≤100,1
1806878996256128,Shatiri Bin Mansor,Kusyary Bin Che Rus,≤100,3
332368703579842,Syed Ibrahim Syed Noh,Parti Keadilan Rakyat,≤100,3
104503677562115,YB Summugam Rengasamy,Kusyary Bin Che Rus,≤100,3
142523182588387,Dato' Hj Abdul Halim Hussain,Abdul Halim Bin Hussain,≤100,3
302289583485368,Chua Wei Kiat,PARTI KEADILAN RAKYAT CABANG SELAYANG,≤100,3
1893380910908918,Kesavan Subramaniam,Parti Keadilan Rakyat,≤100,3
340011824765,Rodziah Ismail,Parti Keadilan Rakyat,≤100,3
360318124441619,Zamri Yusuf,Parti Keadilan Rakyat,≤100,3
1481225741958270,YB Arafat - Pusat Khidmat Rakyat ADUN Hulu Kinta,Parti Keadilan Rakyat,≤100,3
159556865294,Nik Nazmi,Nik Nazmi,≤100,3
148551616293,The Australian National University,These ads ran without a disclaimer,≤100,4
749366838542381,Skuad Prihatin Dewan Muslimat PAS Malaysia,Skuad Prihatin Dewan Muslimat PAS Malaysia,≤100,1
1176135099088625,Thong Chi Wah - Kepong Commissioner for Oaths,Thong Chi Wah,≤100,1
110330625151721,Chew & Co.,Chew & Co.,≤100,1
1991495041106641,Teaching English with Cambridge,These ads ran without a disclaimer,≤100,1
213511465652713,rentsale.my,rentsale.my,≤100,1
363140247130610,Dr. Robert Ling Kui Ee 林桂億,Dr. Robert Ling Kui Ee 林桂億,≤100,1
103627275288286,Lumi News Malaysia,Lumi Global Sdn Bhd,≤100,4
266790296879,Bloomberg,These ads ran without a disclaimer,≤100,3
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
633246560165629,Fujifilm Global,These ads ran without a disclaimer,≤100,1
108192918298788,Vernekar's in America,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
553737021364990,The Nation's Christ-based Leader/Healing & Wholeness,These ads ran without a disclaimer,≤100,1
208338536239798,This Is Beijing,These ads ran without a disclaimer,≤100,2
178343122212676,Deafblind International (DbI),These ads ran without a disclaimer,≤100,1
967519080077864,Beautiful Shandong,These ads ran without a disclaimer,≤100,1
104766884264496,Dakini Translations and Publications,These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,10
1748969242086378,The Chinese University of Hong Kong 香港中文大學 - CUHK,These ads ran without a disclaimer,≤100,3
947141812042694,EGYPS - Egypt Petroleum Show,These ads ran without a disclaimer,≤100,1
101651249502316,The FIFA,These ads ran without a disclaimer,≤100,1
207716982590230,Cipla,These ads ran without a disclaimer,≤100,1
114797118561022,Breda University of Applied Sciences,These ads ran without a disclaimer,≤100,2
285530825204,Klitschko,These ads ran without a disclaimer,≤100,2
