Location name,Amount spent (TRY)
Adana Province,7630
Adıyaman Province,102
Afyonkarahisar Province,216
Aksaray Province,102
Amasya Province,≤100
Ankara Province,1708
Antalya Province,1747
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,781
Ağrı Province,≤100
Balıkesir Province,458
Bartın Province,≤100
Batman Province,105
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,102
Bursa Province,1092
Denizli Province,312
Diyarbakır Province,287
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,128
Eskişehir Province,274
Gaziantep Province,595
Giresun Province,147
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,825
Isparta Province,516
Istanbul Province,11155
Iğdır Province,≤100
Kahramanmaraş Province,395
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,514
Kilis Province,≤100
Kocaeli Province,521
Konya Province,648
Kütahya Province,140
Kırklareli Province,128
Kırıkkale Province,169
Kırşehir Province,≤100
Malatya Province,147
Manisa Province,385
Mardin Province,152
Mersin Province,1601
Muğla Province,464
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,212
Osmaniye Province,210
Rize Province,≤100
Sakarya Province,159
Samsun Province,1273
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,119
Tekirdağ Province,233
Tokat Province,127
Trabzon Province,208
Tunceli Province,≤100
Unknown,≤100
Uşak Province,118
Van Province,139
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,1182
Çanakkale Province,299
Çankırı Province,≤100
Çorum Province,119
İzmir Province,1947
Şanlıurfa Province,375
Şırnak Province,≤100
