Location name,Amount spent (ISK)
Capital Region,46757
Eastern Region,1821
Northeastern Region,5139
Northwestern Region,1061
Southern Peninsula,4594
Southern Region,4448
Unknown,≤100
Western Region,1041
Westfjords,1004
