Location name,Amount spent (DKK)
Capital Region of Denmark,49723
Central Denmark Region,24474
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,11274
Region of Southern Denmark,22394
Unknown,≤100
Zealand Region,15373
