Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
103239152025517,Aktuális,Aktuális Média,2614640,4
294998357524107,Deák Dániel,Megafon,516573,2
503614639975773,Trombitás Kristóf,Megafon,414641,2
109637397268775,Nyugati Pályán,Splendidea Communications Kft,331329,11
120370174702378,Magyarország Kormánya,Magyarország Kormánya,326317,2
1487569941539650,Tanítanék,Humán Platform,93965,4
294815374340858,Donáth Anna,Donáth Anna - Momentum,75095,17
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,66161,13
543788999005363,ORIGO,Mediaworks Hungary Zrt.,65703,11
438674070213065,Magyar Állampapír,Magyar Állampapír,59086,3
178362315106,European Parliament,European Parliament,57247,3
248172631940,Mandiner,Mediaworks Hungary Zrt.,52051,11
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,50031,1
191461774219575,hirado.hu,hirado.hu,49237,28
306318386058001,Dr. Molnár Csaba,Demokratikus Koalíció,45711,1
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,34323,7
1534911313439123,Ripost,Ripost,32662,9
136873753073862,Nőkért Egyesület,Antoni Rita Judit,30086,1
110435704162069,V. gr. Molnár-Gazsó János,Vitezi Rend,28663,1
108346693873484,Győrffy Balázs,Balazs Gyorffy,25711,2
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,25651,4
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,24751,7
131283758531,HVG,HVG Kiadó ZRt.,24604,18
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,23730,5
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,21511,10
264517713636590,PestiSracok.hu,PestiSrácok.hu,18832,7
268042136672212,Századvég,Századvég Közéleti Tudásközpont Alapítvány,18515,27
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,17899,6
430246420380967,Mirkóczki Ádám,Mirkóczki Ádám,17012,4
150219742265121,Bedő Dávid,Bedő Dávid - Momentum,16833,5
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,16329,10
101666315245855,Erősítő,erosito.hu,16005,8
100401808007704,EzaLényeg.hu,EzaLényeg.hu,15352,17
126893087354793,Európai Parlament,Európai Parlament,15129,3
592204747588011,Momentum Mozgalom,Momentum Mozgalom,15109,2
135049793193159,IH Rendezvényközpont,Green Team Event & Marketing Kft.,14964,14
105129068891221,Frisshirek.hu,Genesis Médiacsoport Kft.,13925,7
100299381703981,Ps TV,PestiSrácok.hu,12380,3
594088897289853,Alapjogokért Központ,Alapjogokért Központ,11896,10
554058754619723,IKEA,IKEA,11844,2
115295915203476,Európa Pont,Európai Bizottság Magyarországi Képviselete,11193,1
109414841321682,Magyar Falu Program,Magyar Falu Program,10421,2
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,10404,35
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,10196,3
851784814892644,Simicskó István,KDNP frakció,10104,1
104337347681259,4trees,4trees,10062,20
108248022589754,Bosch Magyarország,Bosch Magyarország,9951,6
451844608304228,Metropol,Metropol,9915,4
116609705085092,BP18,BP18,9198,2
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,8716,4
100905288315705,Jelen hetilap,Liberty Press Kft.,8610,9
1944720419101498,Dr. Lévai István Zoltán,Dr. Lévai István Zoltán,8577,2
108395900927334,Kovács István,Kovács István Megafon,8458,4
193944440638410,Karácsony Gergely,Budapest Főváros Önkormányzat,8387,4
545872002109034,Matkovich Ilona,Matkovich Ilona Zsuzsanna,8300,3
393679827916885,TV18,Városgazda18,8136,2
105774734948091,Hungarian Conservative,Hungarian Conservative,8010,6
519279158277826,Szülői Hang,Szülői Hang,7854,5
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,7483,6
270741976461920,Farkas Éva Erzsébet,Farkas Éva Erzsébet Hivatalos Oldala,7439,3
106280224056208,Gelencsér Ferenc,Momentum Mozgalom,7415,6
126539424061030,Háttér Társaság,Háttér Társaság,7407,2
1408906262689093,Nyitrai Zsolt,Fidesz,6946,5
206674032754117,"Karitáció Alapítvány, Gyógyító Bohócdoktorok",Karitáció Közhasznú Alapítvány,6531,2
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,6317,1
1237616006358749,Kékes Online,Kékes Online,5753,8
113375923695023,Fidesz Budapest,Fidesz Budapest,5731,6
103478164920832,Rubicon Intézet,Rubicon Intézet,5504,13
112872841638481,Jászberény többet érdemel,Jászságszava,5503,7
103581448930725,Szeretlek Csongrád-Csanád,Genesis Médiacsoport Kft.,5485,4
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,5480,2
14792493292,Magyar Kétfarkú Kutya Párt,Magyar Kétfarkú Kutya Párt,5446,13
1869511526651884,Zsigmond Barna Pál,Fidesz,5436,6
100452852734271,Startlap - Vásárlás tippek,Central Médiacsoport Zrt.,5388,2
390232091384,Habitat for Humanity Magyarország,Habitat for Humanity Magyarország,5356,10
206829842043,Rétvári Bence,Rétvári Bence,5098,5
100103228401991,Axióma,Axióma Kulturális Alapítvány,5093,1
109565208474856,Startlap - Utazás tippek,Central Médiacsoport Zrt.,4992,1
101135532783408,Magyar Politikai Akademia,Megoldás Mozgalom,4902,1
221761091331222,Danube Institute,Danube Institute,4792,8
105967164071611,Nagy Balázs Szemere és Ganztelep,Nagy Balázs István,4748,7
142116653162328,Márki-Zay Péter,Márki-Zay Péter,4460,6
102641477991941,bahir.hu - BAHÍR,Zöld Baranya Egyesület,4439,11
1313300228710330,BASF Mezőgazdasági megoldások,BASF Hungária Kft.,4368,1
193640214178356,Gyopáros Alpár,Gyopáros Alpár,4366,2
102426795954406,Nobilis Márton,Nobilis Márton,4324,6
221754767906167,Bencsik János - A Tatai medencéért,Bencsik János,4224,5
197203437879379,Szaniszló Sándor,Szaniszló Sándor,4211,3
233101666752758,Frisss.hu,Frisss.hu,4169,4
451084968283411,Klímainnovációs Közösség,PANNON Pro Innovációs Kft.,4154,2
1449423641866973,Illés Boglárka,Illés Boglárka,4124,1
228208347319442,Pécs Jövője,Pécs Jövője,4100,1
150836998898897,aHang,aHang,4095,1
2021019054887069,Szeretlek Zala,Genesis Médiacsoport Kft.,4010,2
106745191902831,Bács-Kiskun 5 - DK,Nagy Szabolcs,3988,6
1239893846155692,Tompos Márton,Momentum Mozgalom,3917,1
105097844200628,EzaLényeg.hu - Pestlőrinc,EzaLényeg.hu,3708,7
506244332746545,TEOL.hu,TEOL.hu,3666,2
308871671705,BAON Bács-Kiskun Megyei Online,Mediaworks Hungary Zrt.,3602,2
1215492498464496,Angyal Károly,Angyal Károly Tibor,3580,3
116905388345518,veol.hu,Mediaworks Hungary Zrt.,3533,2
85568463466,Mérce,Mérce,3513,13
107760432613264,Sonline.hu - Somogy közösségi és hírportálja,Sonline.hu - Somogy közösségi és hírportálja,3408,2
147633001941737,kisalfold.hu,kisalfold.hu,3384,2
105666454157523,Szikra Mozgalom,Szikra Mozgalom,3370,2
106920862700810,JCC Budapest - Bálint Ház,Bálint Zsidó Közösségi Ház Alapítvány,3350,1
134324809941862,Szoljon.hu,Mediaworks Hungary Zrt.,3312,2
320986996098,zaol.hu,Mediaworks Hungary Zrt.,3276,2
296310837699,vaol.hu,Mediaworks Hungary Zrt.,3228,2
1652741928333536,KPSVR,KPSVR Media,3208,1
520804294719829,Trippon Norbert,Dr. Trippon Norbert,3122,3
102877499117068,Pálfalvi Milán Nézőpontja,Nézőpont,3061,1
256032748317057,Színes Erzsébetváros,Színes Erzsébetváros,3061,1
122159141138679,Magyar Helsinki Bizottság / Hungarian Helsinki Committee,Magyar Helsinki Bizottság / Hungarian Helsinki Committee,3003,3
101964662426929,Szeretlek Pest,Genesis Médiacsoport Kft.,2991,2
1926735160968885,Válasz Online,Válasz Online,2955,1
237088069704442,Kósa Ádám,"Adam Kosa, Member of the European Parliament",2894,1
161746613987047,Állampolgári Bizottság az Emberi Jogokért,Állampolgári Bizottság az Emberi Jogokért,2857,2
1980431225585027,Kertész Imre Intézet,Kertész Imre Intézet,2855,1
321901088360077,Mi Hazánk Tatabánya,Mi Hazánk Mozgalom Tatabányai Szervezete,2798,2
162344823835042,atlatszo.hu,atlatszo.hu,2742,4
408924035951553,Körforrás,Körforrás,2732,6
172936669443469,Dunaújvárosi Hírlap - duol.hu,Dunaújvárosi Hírlap - duol.hu,2730,2
270300439972751,Szemlélek,Szemlélek Alapítvány,2716,4
376436808069,Eventim - Ticket Express Hungary,TEX Hungary Kft.,2634,2
103141961544400,Future of Debrecen,Future of Debrecen Egyesület,2628,9
215551471947529,Sajómente,Sajómente,2625,4
122922027734811,feol.hu,Mediaworks Hungary Zrt.,2610,2
160935777365,bama.hu - a baranya megyei hírportál,bama.hu - a baranya megyei hírportál,2567,2
105156066671267,MKKP Érd és Térsége,Magyar Kétfarkú Kutya Párt,2552,4
108903048413219,A hajdú hagyományok nyomában,Hajdú-Bihar Megyei Önkormányzat,2540,1
125953004085398,Kemma.hu,Kemma.hu,2520,2
876772425797119,Hölvényi György,Hölvényi György,2510,2
108969903815752,Farkas Attila,Farkas Attila,2484,2
258636010813346,Delmagyar.hu,Mediaworks Hungary Zrt.,2479,2
103520614495214,Ollero Marco képviselő,Momentum Mozgalom,2449,1
110328363663045,Körmendi Zoltán,Zoltan Kormendi,2440,1
104295985072846,"Encsi Művelődési és Sportközpont, Könyvtár",Encs Város Önkormányzata,2432,2
203158929827,Beol.hu Békés Megyei Online,Mediaworks Hungary Zrt.,2368,2
166359293376130,Hévíz Város Önkormányzata,Papp Gábor,2336,2
103214802353320,Magyar Szürkék Útja - Oxenweg,Hajdú-Bihar Megyei Önkormányzat,2286,1
106072821290123,"Rigó Balázs, alpolgármester - Tatáért",Rigó Balázs,2276,2
109539103711670,Molnárka Gábor - Momentum,Molnárka Gábor Zoltán,2236,1
505454183141061,Barcza Attila,Barcza Attila,2212,2
560525343980775,Index.hu,Index.hu,2057,4
278992483155,Tordai Bence,Párbeszéd Magyarországért,2053,2
735736549957756,G7.hu,G7.hu Nonprofit Zrt.,2042,1
473556426002468,Fogászat Relaxációban,Relax dental center,2003,1
243470906428319,Juhász Hajnalka,Juhász Hajnalka,1997,1
264210363649459,Élő Norbert,Élő Norbert,1984,2
1440067539627618,Rathauskeller - Budakeszi,Dalotti Tibor Otto,1981,1
964926116915133,"Cat Construction Europe, Middle East & Africa",These ads ran without a disclaimer,1899,2
129255963785124,Heol.hu,Heol.hu,1877,1
115050303274279,Horváth Soma,Horváth Soma Àdám,1867,1
103876772542159,Momentum Dél-Vas megye,Momentum Mozgalom,1857,2
222935035147780,moszkvater.com,moszkvater.com,1854,3
1107734912752090,Encs Város Önkormányzata,Encs Város Önkormányzata,1823,3
108087758588692,Talabér Krisztián Nézőpontja,Nézőpont,1823,2
326763130286,Borsod Online,Borsod Online,1773,1
1627127484170228,NHC24,Mediaworks Hungary Zrt.,1736,1
276554411147,Szabolcs Online,Szabolcs Online,1692,1
670269189782610,Ficsak - Fiatal Családosok Klubja,Fiatal Családosok Klubja,1657,3
190624800967882,NANE Egyesület,NANE Egyesület,1653,3
110528170650337,Csokonai Nonprofit Kft.,Csokonai Nonprofit Kft.,1595,1
2052411268414575,Youth Business Group,Youth Business Group Egyesület,1584,1
106317037417774,Burján Ferenc,Burján Ferenc,1568,2
633235437049843,Újpesti Hírmondó,Újpesti Hírmondó,1560,3
111260768152968,Szeretlek Hajdú-Bihar,Genesis Médiacsoport Kft.,1550,1
110801091821545,Jurák Tamás,Magyar Szocialista Párt,1540,1
107418458541449,Szeretlek Békés,Genesis Médiacsoport Kft.,1538,1
110535688225094,Szeretlek Baranya,Genesis Médiacsoport Kft.,1536,1
