Location name,Amount spent (SEK)
Blekinge County,4172
Dalarna County,8137
Gotland County,2154
Gävleborg County,8519
Halland County,8222
Jämtland County,3926
Jönköping County,9273
Kalmar County,6139
Kronoberg County,4694
Norrbotten County,7776
Skåne County,39579
Stockholm County,66457
Södermanland County,8122
Unknown,≤100
Uppsala County,10634
Värmland County,7490
Västerbotten County,7869
Västernorrland County,7385
Västmanland County,7331
Västra Götaland County,55133
Örebro County,8250
Östergötland County,12269
