Location name,Amount spent (SEK)
Blekinge County,13781
Dalarna County,27589
Gotland County,8243
Gävleborg County,28364
Halland County,29288
Jämtland County,13200
Jönköping County,31200
Kalmar County,21185
Kronoberg County,15416
Norrbotten County,25207
Skåne County,112266
Stockholm County,216323
Södermanland County,26759
Unknown,≤100
Uppsala County,36515
Värmland County,24569
Västerbotten County,26484
Västernorrland County,23006
Västmanland County,24764
Västra Götaland County,167507
Örebro County,26358
Östergötland County,39839
