Location name,Amount spent (MYR)
Johor,288
Kedah,198
Kelantan,141
Kuala Lumpur,1268
Labuan,≤100
Malacca,≤100
Negeri Sembilan,173
Pahang,249
Penang,165
Perak,232
Perlis,≤100
Putrajaya,≤100
Sabah,203
Sarawak,164
Selangor,2197
Terengganu,142
Unknown,≤100
