Location name,Amount spent (PLN)
Greater Poland Voivodeship,4500
Kuyavian-Pomeranian Voivodeship,2637
Lesser Poland Voivodeship,4740
Lower Silesian Voivodeship,3495
Lublin Voivodeship,2306
Lubusz Voivodeship,1309
Masovian Voivodeship,8249
Opole Voivodeship,1063
Podkarpackie Voivodeship,1969
Podlaskie Voivodeship,1121
Pomeranian Voivodeship,3754
Silesian Voivodeship,4827
Unknown,≤100
Warmian-Masurian Voivodeship,1379
West Pomeranian Voivodeship,2374
Łódź Voivodeship,2813
Świętokrzyskie Voivodeship,1146
