Location name,Amount spent (VEF)
Amazonas,≤100
Anzoátegui,≤100
Apure,250000
Aragua,1250000
Barinas,177499
Bolívar (state),1250000
Capital District,2250000
Carabobo,919993
Cojedes,≤100
Delta Amacuro,72499
Falcón,6717450
Guárico,250000
Lara,749994
Miranda (state),1250000
Monagas,≤100
Mérida,250000
Nueva Esparta,84999
Portuguesa,500000
Sucre,234998
Trujillo,≤100
Táchira,6594950
Vargas,250000
Yaracuy,1102492
Zulia,7250000
