Location name,Amount spent (PKR)
Azad Kashmir,793
Balochistan,1664
Federally Administered Tribal Areas,280
Gilgit-Baltistan,429
Islamabad Capital Territory,9816
Khyber Pakhtunkhwa,10042
Punjab,49788
Sindh,32133
Unknown,≤100
